,Confidence intervals of p0,Confidence intervals of p1
WalkSAT/SKC Exp. model,[0.000447604196756,0.00101125966813],[1.00704167916,1.00911545678]
WalkSAT/SKC RootExp. model,[1.09051070514e-05,6.18968894548e-05],[1.32429495391,1.44327802739]
WalkSAT/SKC Poly. model,[4.55535378122e-12,1.01104980201e-09],[2.78115425602,3.68337510299]
