,Model,Median RMSE (support),RMSE Confidence Interval (support),median RMSE (challenge),RMSE Confidence Interval (challenge)
WalkSAT/SKC Exp. Model,0.00134138936219,[0.000661483078385836, 0.0023946739956536077],0.767579009029,[0.34781123830254346, 1.6329864800284228]
WalkSAT/SKC RootExp. Model,0.00109086287791,[0.0004444910327438143, 0.002512220113465443],0.162443381513,[0.02679397109964772, 0.41739743872371204]
WalkSAT/SKC Poly. Model,0.00127597275079,[0.0005023894463878656, 0.002801896489129504],0.0412053246244,[0.010379697705001094, 0.09576045488033587]
